job_type,age,experience,education,salary
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,75000
Data Scientist,30,5,Master,84000
Doctor,40,20,PhD,100000
Teacher,39,10,Master,54000
Accountant,23,3,Bachelor,50000
Engineer,45,20,Bachelor,105000
Software Engineer,25,5,Bachelor,105000
Data Scientist,30,4,Master,95000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,75000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,50,29,PhD,170000
Teacher,35,10,Master,55000
Accountant,30,5,Bachelor,80000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,65,25,PhD,190000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,30,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,20,4,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,70,20,PhD,305000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,40,9,PhD,105000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,38,7,Bachelor,70000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,28,3,Bachelor,60000
Engineer,50,25,Bachelor,95000
Software Engineer,25,2,Bachelor,65000
Data Scientist,30,5,Master,85000
Doctor,45,20,PhD,120000
Teacher,35,10,Master,55000
Accountant,38,9,Bachelor,80000
Engineer,60,25,PhD,205000
